Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2005 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2004,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2005 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2004,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075010100,"Census Tract 101, San Francisco County, California",2.8,46,172,99,483,342,492,192,36,390,1098,537,275,173,93,13
6075010200,"Census Tract 102, San Francisco County, California",11,10,47,116,97,200,290,339,146,1855,1144,617,443,165,321,68
6075010300,"Census Tract 103, San Francisco County, California",13.6,0,83,28,66,0,90,150,77,1792,826,438,346,132,74,158
6075010400,"Census Tract 104, San Francisco County, California",19.9,0,56,291,123,175,215,228,120,1753,725,592,488,150,333,84
6075010500,"Census Tract 105, San Francisco County, California",19.3,13,0,16,366,744,639,20,11,76,683,348,285,130,44,32
6075010600,"Census Tract 106, San Francisco County, California",19.1,0,0,0,27,183,111,94,98,1685,770,347,342,151,68,100
6075010700,"Census Tract 107, San Francisco County, California",7.5,0,0,9,108,198,337,195,23,2170,1215,466,574,259,131,166
6075010800,"Census Tract 108, San Francisco County, California",14.9,0,9,149,64,197,199,148,162,1873,693,531,599,181,231,150
6075010900,"Census Tract 109, San Francisco County, California",11.9,29,27,25,179,80,107,74,242,2144,1166,664,355,132,145,98
6075011000,"Census Tract 110, San Francisco County, California",3.3,10,62,44,121,293,201,191,198,1605,1060,502,399,300,174,201
6075011100,"Census Tract 111, San Francisco County, California",11.4,101,14,86,116,95,301,202,202,1978,1149,630,533,249,146,35
6075011200,"Census Tract 112, San Francisco County, California",28.4,13,0,35,73,91,426,186,66,1534,626,461,245,129,151,123
6075011300,"Census Tract 113, San Francisco County, California",4.9,7,11,44,121,30,98,57,43,1272,586,195,454,166,143,57
6075011700,"Census Tract 117, San Francisco County, California",31,10,0,9,159,46,65,18,21,1006,431,188,186,74,42,0
6075011800,"Census Tract 118, San Francisco County, California",11,0,9,0,0,12,0,103,75,573,229,78,258,68,31,23
6075011901,"Census Tract 119.01, San Francisco County, California",22.9,0,0,0,194,237,290,16,59,1062,578,324,284,136,96,14
6075011902,"Census Tract 119.02, San Francisco County, California",19.4,0,0,0,56,44,53,96,181,1618,733,430,260,124,69,34
6075012000,"Census Tract 120, San Francisco County, California",12.9,55,0,61,15,101,83,143,31,2339,1344,489,425,110,82,13
6075012100,"Census Tract 121, San Francisco County, California",15.4,0,0,14,30,11,30,128,125,2103,1193,409,264,66,132,0
6075012201,"Census Tract 122.01, San Francisco County, California",12,0,0,77,0,46,53,64,156,2380,1129,451,619,177,68,0
6075012202,"Census Tract 122.02, San Francisco County, California",5.2,78,0,53,67,71,78,93,24,1141,751,466,181,124,0,0
6075012301,"Census Tract 123.01, San Francisco County, California",26.5,0,28,63,60,78,95,99,140,1376,759,309,163,99,87,8
6075012302,"Census Tract 123.02, San Francisco County, California",34.4,45,13,70,207,66,12,79,59,2022,1157,197,206,66,28,35
6075012401,"Census Tract 124.01, San Francisco County, California",11.2,0,38,118,55,177,221,98,115,1886,1028,645,569,130,23,11
6075012402,"Census Tract 124.02, San Francisco County, California",17.6,9,125,114,157,83,245,121,229,1183,972,521,241,86,47,0
6075012501,"Census Tract 125.01, San Francisco County, California",20.9,48,42,167,239,40,78,74,205,1543,949,319,607,52,0,0
6075012502,"Census Tract 125.02, San Francisco County, California",13,140,70,140,16,61,67,134,157,1748,1035,532,514,13,70,39
6075012601,"Census Tract 126.01, San Francisco County, California",13.8,0,14,40,13,58,93,54,89,1287,806,266,131,54,59,104
6075012602,"Census Tract 126.02, San Francisco County, California",16.4,38,0,95,77,169,108,129,89,1119,740,335,237,127,36,50
6075012700,"Census Tract 127, San Francisco County, California",8.8,0,0,191,40,87,87,202,93,1532,1010,392,363,119,38,113
6075012800,"Census Tract 128, San Francisco County, California",12.4,0,0,136,20,97,234,316,133,1686,929,542,393,158,164,110
6075012901,"Census Tract 129.01, San Francisco County, California",13.5,46,12,0,152,19,81,212,213,988,805,334,217,53,62,19
6075012902,"Census Tract 129.02, San Francisco County, California",6,63,91,17,146,185,266,309,164,979,1104,387,198,243,78,76
6075013000,"Census Tract 130, San Francisco County, California",12.5,0,0,24,104,202,239,347,94,1701,1306,529,225,149,132,30
6075013101,"Census Tract 131.01, San Francisco County, California",7,0,150,0,115,134,296,128,172,1602,1236,575,242,185,163,13
6075013102,"Census Tract 131.02, San Francisco County, California",10.4,0,0,19,86,150,234,194,84,1047,678,442,200,164,116,25
6075013200,"Census Tract 132, San Francisco County, California",12.1,49,17,43,117,268,191,146,133,1705,965,481,357,224,219,99
6075013300,"Census Tract 133, San Francisco County, California",15.1,0,12,0,99,78,61,69,135,1542,479,311,419,106,203,176
6075013400,"Census Tract 134, San Francisco County, California",20.5,0,13,0,14,172,188,83,81,1649,702,462,279,112,155,40
