Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3598,1704,107,12,1514,0
6075010200,"Census Tract 102, San Francisco County, California",4040,3330,45,0,354,0
6075010300,"Census Tract 103, San Francisco County, California",4393,2849,0,0,1544,0
6075010400,"Census Tract 104, San Francisco County, California",4749,3061,1,0,1373,0
6075010500,"Census Tract 105, San Francisco County, California",2504,1714,38,0,537,16
6075010600,"Census Tract 106, San Francisco County, California",3942,1301,81,0,2285,0
6075010700,"Census Tract 107, San Francisco County, California",5555,991,162,10,4290,0
6075010800,"Census Tract 108, San Francisco County, California",4811,2270,74,23,2354,0
6075010900,"Census Tract 109, San Francisco County, California",4772,3401,62,97,1018,0
6075011000,"Census Tract 110, San Francisco County, California",5256,2422,84,0,2547,0
6075011100,"Census Tract 111, San Francisco County, California",5008,2287,403,22,1819,0
6075011200,"Census Tract 112, San Francisco County, California",3170,1756,0,1,1224,31
6075011300,"Census Tract 113, San Francisco County, California",3267,469,32,18,2663,4
6075011700,"Census Tract 117, San Francisco County, California",1396,730,117,0,486,0
6075011800,"Census Tract 118, San Francisco County, California",1635,97,5,10,1482,0
6075011901,"Census Tract 119.01, San Francisco County, California",2254,1350,143,0,652,0
6075011902,"Census Tract 119.02, San Francisco County, California",2844,1664,21,47,821,20
6075012000,"Census Tract 120, San Francisco County, California",3502,2037,237,0,888,0
6075012100,"Census Tract 121, San Francisco County, California",3530,2060,114,20,959,13
6075012201,"Census Tract 122.01, San Francisco County, California",4469,2048,315,0,1555,0
6075012202,"Census Tract 122.02, San Francisco County, California",2598,1200,425,14,822,0
6075012301,"Census Tract 123.01, San Francisco County, California",1974,684,289,0,770,0
6075012302,"Census Tract 123.02, San Francisco County, California",2306,1106,211,23,930,0
6075012401,"Census Tract 124.01, San Francisco County, California",4081,1776,124,23,919,14
6075012402,"Census Tract 124.02, San Francisco County, California",3194,1439,269,0,1166,3
6075012501,"Census Tract 125.01, San Francisco County, California",3358,1410,326,76,1065,2
6075012502,"Census Tract 125.02, San Francisco County, California",3895,834,658,55,1892,0
6075012601,"Census Tract 126.01, San Francisco County, California",2272,1919,0,31,270,0
6075012602,"Census Tract 126.02, San Francisco County, California",2990,2678,0,0,207,0
6075012700,"Census Tract 127, San Francisco County, California",3702,3176,14,0,406,0
6075012800,"Census Tract 128, San Francisco County, California",4446,3661,18,31,483,0
