Id2,Geography,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1969 or earlier
6075010100,"Census Tract 101, San Francisco County, California",6.9,0,414,310,186,353,543,89,86,338,853,847,266,152,42,0
6075010200,"Census Tract 102, San Francisco County, California",13.8,0,26,50,94,183,363,244,115,2029,782,1280,188,195,176,55
6075010300,"Census Tract 103, San Francisco County, California",12.8,0,45,31,60,97,98,244,19,1723,776,554,217,205,96,173
6075010400,"Census Tract 104, San Francisco County, California",6.7,0,0,280,178,140,175,127,230,1647,807,1034,276,185,211,77
6075010500,"Census Tract 105, San Francisco County, California",16.1,13,74,14,349,508,792,86,45,49,489,671,135,204,76,44
6075010600,"Census Tract 106, San Francisco County, California",13,22,29,41,55,156,88,110,207,1408,516,737,237,197,74,80
6075010700,"Census Tract 107, San Francisco County, California",12.1,0,0,53,76,28,261,381,70,1890,654,898,450,142,62,220
6075010800,"Census Tract 108, San Francisco County, California",11.1,0,33,163,54,29,319,90,374,1693,680,800,400,244,149,176
6075010900,"Census Tract 109, San Francisco County, California",4.8,0,34,70,136,45,112,145,132,2275,683,1299,366,174,137,148
6075011000,"Census Tract 110, San Francisco County, California",4.9,0,107,65,158,165,296,264,52,1652,908,957,320,232,64,144
6075011100,"Census Tract 111, San Francisco County, California",7.8,0,201,185,104,120,147,325,323,1866,1100,1357,295,155,52,56
6075011200,"Census Tract 112, San Francisco County, California",27,7,103,72,116,40,410,289,39,1281,397,801,151,180,171,21
