Id2,Geography,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 to 2013,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier
6075010100,"Census Tract 101, San Francisco County, California",0,0,393,290,205,514,424,124,111,246,79,1006,631,196,74,73
6075010200,"Census Tract 102, San Francisco County, California",0,58,2,36,144,164,392,349,147,1726,149,1003,763,243,205,184
6075010300,"Census Tract 103, San Francisco County, California",0,0,0,30,80,83,101,190,39,1855,93,833,334,182,218,374
6075010400,"Census Tract 104, San Francisco County, California",0,0,0,170,212,198,159,129,221,1755,16,890,857,374,99,265
6075010500,"Census Tract 105, San Francisco County, California",0,10,72,23,346,558,783,86,41,56,127,525,571,134,162,95
6075010600,"Census Tract 106, San Francisco County, California",0,25,17,65,44,164,65,71,228,1418,155,705,400,228,160,164
6075010700,"Census Tract 107, San Francisco County, California",0,0,22,76,57,94,174,255,116,1972,146,892,713,365,136,244
6075010800,"Census Tract 108, San Francisco County, California",0,0,53,115,128,87,309,181,273,1597,89,682,583,519,308,244
6075010900,"Census Tract 109, San Francisco County, California",55,0,40,76,103,93,166,223,145,2045,126,902,983,257,232,217
6075011000,"Census Tract 110, San Francisco County, California",25,11,74,193,273,305,389,170,36,1404,193,1137,740,208,86,260
6075011100,"Census Tract 111, San Francisco County, California",0,33,224,106,84,177,313,303,331,1766,168,1189,1106,341,209,60
6075011200,"Census Tract 112, San Francisco County, California",11,0,43,37,161,92,409,286,56,1244,172,639,440,298,170,197
6075011300,"Census Tract 113, San Francisco County, California",0,0,14,16,151,88,112,66,101,1096,115,409,521,209,124,156
6075011700,"Census Tract 117, San Francisco County, California",61,11,26,34,73,106,50,58,60,829,117,584,236,66,46,12
6075011800,"Census Tract 118, San Francisco County, California",0,0,11,4,9,41,38,48,33,586,21,289,202,91,66,39
6075011901,"Census Tract 119.01, San Francisco County, California",0,0,0,16,166,307,212,88,120,819,67,693,365,207,101,55
6075011902,"Census Tract 119.02, San Francisco County, California",0,0,0,44,12,74,89,47,106,1599,46,953,448,236,87,65
6075012000,"Census Tract 120, San Francisco County, California",0,24,119,141,56,70,130,111,264,1899,164,1301,633,340,38,118
6075012100,"Census Tract 121, San Francisco County, California",0,0,17,0,47,14,49,219,119,1831,105,1070,495,263,112,88
6075012201,"Census Tract 122.01, San Francisco County, California",0,0,17,0,46,208,94,119,183,2410,229,1401,790,283,234,0
6075012202,"Census Tract 122.02, San Francisco County, California",0,0,168,59,157,59,29,100,51,1077,73,784,502,170,20,14
6075012301,"Census Tract 123.01, San Francisco County, California",0,42,105,30,96,74,120,27,26,1147,35,658,476,133,8,30
6075012302,"Census Tract 123.02, San Francisco County, California",0,0,45,54,289,119,70,157,125,1403,240,1032,421,122,54,37
6075012401,"Census Tract 124.01, San Francisco County, California",0,34,78,47,76,127,173,168,78,2266,203,1300,696,332,119,14
6075012402,"Census Tract 124.02, San Francisco County, California",0,58,511,46,67,262,217,54,127,1235,242,961,889,203,31,0
6075012501,"Census Tract 125.01, San Francisco County, California",0,34,299,239,151,0,103,15,79,1701,50,828,1051,216,15,19
6075012502,"Census Tract 125.02, San Francisco County, California",0,0,146,77,50,67,14,79,67,1763,78,677,926,286,234,0
6075012601,"Census Tract 126.01, San Francisco County, California",0,0,0,67,14,148,39,120,79,1234,85,800,433,81,45,74
6075012602,"Census Tract 126.02, San Francisco County, California",0,0,16,98,101,234,158,114,84,1025,104,734,532,121,100,81
