Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075010100,"Census Tract 101, San Francisco County, California",3744,1810,523,11,1276,27
6075010200,"Census Tract 102, San Francisco County, California",4184,3429,56,0,385,0
6075010300,"Census Tract 103, San Francisco County, California",4285,2619,94,0,1445,0
6075010400,"Census Tract 104, San Francisco County, California",4154,2786,0,0,1161,0
6075010500,"Census Tract 105, San Francisco County, California",2429,1950,11,0,317,0
6075010600,"Census Tract 106, San Francisco County, California",3927,1204,86,0,2453,0
6075010700,"Census Tract 107, San Francisco County, California",5683,910,169,24,4541,0
6075010800,"Census Tract 108, San Francisco County, California",4587,2040,64,13,2336,0
6075010900,"Census Tract 109, San Francisco County, California",4463,2968,57,153,1056,0
6075011000,"Census Tract 110, San Francisco County, California",5718,2462,105,0,3027,0
6075011100,"Census Tract 111, San Francisco County, California",4887,2425,193,19,1979,0
6075011200,"Census Tract 112, San Francisco County, California",3260,1846,12,0,1272,0
6075011300,"Census Tract 113, San Francisco County, California",3507,276,38,7,3163,0
6075011700,"Census Tract 117, San Francisco County, California",1444,505,207,0,617,0
6075011800,"Census Tract 118, San Francisco County, California",1765,75,0,0,1690,0
6075011901,"Census Tract 119.01, San Francisco County, California",2045,1275,22,0,614,0
6075011902,"Census Tract 119.02, San Francisco County, California",2618,1596,59,42,657,32
6075012000,"Census Tract 120, San Francisco County, California",3615,2015,135,0,1156,0
6075012100,"Census Tract 121, San Francisco County, California",3046,1928,56,20,916,13
6075012201,"Census Tract 122.01, San Francisco County, California",4173,2229,225,0,1273,0
6075012202,"Census Tract 122.02, San Francisco County, California",2272,1056,200,0,842,0
6075012301,"Census Tract 123.01, San Francisco County, California",2367,508,345,8,870,0
6075012302,"Census Tract 123.02, San Francisco County, California",2054,1021,289,101,485,0
6075012401,"Census Tract 124.01, San Francisco County, California",4453,1535,197,90,1160,16
6075012402,"Census Tract 124.02, San Francisco County, California",2895,1324,225,0,756,8
6075012501,"Census Tract 125.01, San Francisco County, California",3283,1278,516,55,960,19
6075012502,"Census Tract 125.02, San Francisco County, California",3191,879,495,25,1561,39
6075012601,"Census Tract 126.01, San Francisco County, California",2323,2078,0,30,148,0
6075012602,"Census Tract 126.02, San Francisco County, California",2635,2370,0,0,189,0
6075012700,"Census Tract 127, San Francisco County, California",3322,2840,0,0,380,0
6075012800,"Census Tract 128, San Francisco County, California",4000,3245,122,21,401,0
6075012901,"Census Tract 129.01, San Francisco County, California",2569,2180,29,8,162,130
6075012902,"Census Tract 129.02, San Francisco County, California",3412,2785,16,0,474,0
6075013000,"Census Tract 130, San Francisco County, California",3788,3177,24,10,443,0
6075013101,"Census Tract 131.01, San Francisco County, California",3596,2854,0,0,643,0
6075013102,"Census Tract 131.02, San Francisco County, California",2913,2414,114,8,253,0
6075013200,"Census Tract 132, San Francisco County, California",4703,3864,25,11,506,0
6075013300,"Census Tract 133, San Francisco County, California",3794,3094,36,0,426,13
6075013400,"Census Tract 134, San Francisco County, California",3202,2782,157,6,169,0
6075013500,"Census Tract 135, San Francisco County, California",2717,2192,35,0,360,0
6075015100,"Census Tract 151, San Francisco County, California",2149,1467,23,0,573,0
6075015200,"Census Tract 152, San Francisco County, California",3780,2881,56,0,772,0
6075015300,"Census Tract 153, San Francisco County, California",2107,1318,317,0,271,0
6075015400,"Census Tract 154, San Francisco County, California",5562,3728,153,0,1429,0
6075015500,"Census Tract 155, San Francisco County, California",4111,1993,273,14,1502,0
6075015600,"Census Tract 156, San Francisco County, California",2779,1388,113,0,1007,28
6075015700,"Census Tract 157, San Francisco County, California",7718,4229,377,0,2130,40
6075015801,"Census Tract 158.01, San Francisco County, California",3247,1745,937,0,364,0
6075015802,"Census Tract 158.02, San Francisco County, California",2769,1584,820,0,282,10
6075015900,"Census Tract 159, San Francisco County, California",4134,1957,633,7,1329,0
6075016000,"Census Tract 160, San Francisco County, California",2255,1347,50,6,649,0
6075016100,"Census Tract 161, San Francisco County, California",4717,1556,1724,17,991,0
6075016200,"Census Tract 162, San Francisco County, California",2260,1559,86,0,350,12
6075016300,"Census Tract 163, San Francisco County, California",4428,2582,1017,25,478,0
6075016400,"Census Tract 164, San Francisco County, California",3671,2256,518,49,519,0
