Id2,Geography,Estimate; Total
6075010100,"Census Tract 101, San Francisco County, California",2319
6075010200,"Census Tract 102, San Francisco County, California",3104
6075010300,"Census Tract 103, San Francisco County, California",2317
6075010400,"Census Tract 104, San Francisco County, California",2777
6075010500,"Census Tract 105, San Francisco County, California",1930
6075010600,"Census Tract 106, San Francisco County, California",2116
6075010700,"Census Tract 107, San Francisco County, California",2759
6075010800,"Census Tract 108, San Francisco County, California",2755
6075010900,"Census Tract 109, San Francisco County, California",2949
6075011000,"Census Tract 110, San Francisco County, California",2759
6075011100,"Census Tract 111, San Francisco County, California",3271
6075011200,"Census Tract 112, San Francisco County, California",2357
6075011300,"Census Tract 113, San Francisco County, California",1621
6075011700,"Census Tract 117, San Francisco County, California",1217
6075011800,"Census Tract 118, San Francisco County, California",732
6075011901,"Census Tract 119.01, San Francisco County, California",1764
6075011902,"Census Tract 119.02, San Francisco County, California",1944
6075012000,"Census Tract 120, San Francisco County, California",2762
6075012100,"Census Tract 121, San Francisco County, California",2316
6075012201,"Census Tract 122.01, San Francisco County, California",2957
6075012202,"Census Tract 122.02, San Francisco County, California",1645
6075012301,"Census Tract 123.01, San Francisco County, California",1692
6075012302,"Census Tract 123.02, San Francisco County, California",2254
6075012401,"Census Tract 124.01, San Francisco County, California",2926
6075012402,"Census Tract 124.02, San Francisco County, California",2379
6075012501,"Census Tract 125.01, San Francisco County, California",2650
6075012502,"Census Tract 125.02, San Francisco County, California",2248
6075012601,"Census Tract 126.01, San Francisco County, California",1679
6075012602,"Census Tract 126.02, San Francisco County, California",1843
6075012700,"Census Tract 127, San Francisco County, California",2321
6075012800,"Census Tract 128, San Francisco County, California",2665
6075012901,"Census Tract 129.01, San Francisco County, California",1699
6075012902,"Census Tract 129.02, San Francisco County, California",2214
6075013000,"Census Tract 130, San Francisco County, California",2696
6075013101,"Census Tract 131.01, San Francisco County, California",2574
6075013102,"Census Tract 131.02, San Francisco County, California",1743
6075013200,"Census Tract 132, San Francisco County, California",2619
6075013300,"Census Tract 133, San Francisco County, California",2098
6075013400,"Census Tract 134, San Francisco County, California",2203
6075013500,"Census Tract 135, San Francisco County, California",1854
6075015100,"Census Tract 151, San Francisco County, California",1814
6075015200,"Census Tract 152, San Francisco County, California",2566
6075015300,"Census Tract 153, San Francisco County, California",1023
6075015400,"Census Tract 154, San Francisco County, California",3047
6075015500,"Census Tract 155, San Francisco County, California",2423
6075015600,"Census Tract 156, San Francisco County, California",1454
6075015700,"Census Tract 157, San Francisco County, California",2819
6075015801,"Census Tract 158.01, San Francisco County, California",1758
6075015802,"Census Tract 158.02, San Francisco County, California",1672
6075015900,"Census Tract 159, San Francisco County, California",2353
6075016000,"Census Tract 160, San Francisco County, California",1817
6075016100,"Census Tract 161, San Francisco County, California",2831
6075016200,"Census Tract 162, San Francisco County, California",1719
6075016300,"Census Tract 163, San Francisco County, California",2197
6075016400,"Census Tract 164, San Francisco County, California",1926
6075016500,"Census Tract 165, San Francisco County, California",2518
6075016600,"Census Tract 166, San Francisco County, California",2672
6075016700,"Census Tract 167, San Francisco County, California",2550
6075016801,"Census Tract 168.01, San Francisco County, California",1747
6075016802,"Census Tract 168.02, San Francisco County, California",1969
6075016900,"Census Tract 169, San Francisco County, California",1788
6075017000,"Census Tract 170, San Francisco County, California",2370
6075017101,"Census Tract 171.01, San Francisco County, California",1966
6075017102,"Census Tract 171.02, San Francisco County, California",1857
6075017601,"Census Tract 176.01, San Francisco County, California",4941
6075017700,"Census Tract 177, San Francisco County, California",839
6075017801,"Census Tract 178.01, San Francisco County, California",2491
6075017802,"Census Tract 178.02, San Francisco County, California",2376
6075017902,"Census Tract 179.02, San Francisco County, California",840
6075018000,"Census Tract 180, San Francisco County, California",1573
6075020100,"Census Tract 201, San Francisco County, California",3075
6075020200,"Census Tract 202, San Francisco County, California",3386
6075020300,"Census Tract 203, San Francisco County, California",1813
6075020401,"Census Tract 204.01, San Francisco County, California",1852
6075020402,"Census Tract 204.02, San Francisco County, California",2642
6075020500,"Census Tract 205, San Francisco County, California",1441
6075020600,"Census Tract 206, San Francisco County, California",2931
6075020700,"Census Tract 207, San Francisco County, California",2854
6075020800,"Census Tract 208, San Francisco County, California",2753
6075020900,"Census Tract 209, San Francisco County, California",1885
6075021000,"Census Tract 210, San Francisco County, California",2215
6075021100,"Census Tract 211, San Francisco County, California",2041
6075021200,"Census Tract 212, San Francisco County, California",1561
6075021300,"Census Tract 213, San Francisco County, California",1285
6075021400,"Census Tract 214, San Francisco County, California",1816
6075021500,"Census Tract 215, San Francisco County, California",2712
6075021600,"Census Tract 216, San Francisco County, California",2228
