Id2,Geography,Estimate; Median year householder moved into unit -- - Renter occupied
6075010100,"Census Tract 101, San Francisco County, California",2004
6075010200,"Census Tract 102, San Francisco County, California",2003
6075010300,"Census Tract 103, San Francisco County, California",2003
6075010400,"Census Tract 104, San Francisco County, California",2003
6075010500,"Census Tract 105, San Francisco County, California",2004
6075010600,"Census Tract 106, San Francisco County, California",2002
6075010700,"Census Tract 107, San Francisco County, California",2001
6075010800,"Census Tract 108, San Francisco County, California",2002
6075010900,"Census Tract 109, San Francisco County, California",2003
6075011000,"Census Tract 110, San Francisco County, California",2002
6075011100,"Census Tract 111, San Francisco County, California",2002
6075011200,"Census Tract 112, San Francisco County, California",2001
6075011300,"Census Tract 113, San Francisco County, California",1996
6075011400,"Census Tract 114, San Francisco County, California",1995
6075011500,"Census Tract 115, San Francisco County, California",2005+
6075011700,"Census Tract 117, San Francisco County, California",2000
6075011800,"Census Tract 118, San Francisco County, California",1997
6075011900,"Census Tract 119, San Francisco County, California",2002
6075012000,"Census Tract 120, San Francisco County, California",2004
6075012100,"Census Tract 121, San Francisco County, California",2004
6075012200,"Census Tract 122, San Francisco County, California",2003
6075012300,"Census Tract 123, San Francisco County, California",2005+
6075012400,"Census Tract 124, San Francisco County, California",2002
6075012500,"Census Tract 125, San Francisco County, California",2004
6075012600,"Census Tract 126, San Francisco County, California",2004
6075012700,"Census Tract 127, San Francisco County, California",2005+
6075012800,"Census Tract 128, San Francisco County, California",2004
6075012900,"Census Tract 129, San Francisco County, California",2004
6075013000,"Census Tract 130, San Francisco County, California",2004
6075013100,"Census Tract 131, San Francisco County, California",2003
6075013200,"Census Tract 132, San Francisco County, California",2005+
6075013300,"Census Tract 133, San Francisco County, California",2003
6075013400,"Census Tract 134, San Francisco County, California",2005+
6075013500,"Census Tract 135, San Francisco County, California",2005+
6075015100,"Census Tract 151, San Francisco County, California",2003
6075015200,"Census Tract 152, San Francisco County, California",2004
6075015300,"Census Tract 153, San Francisco County, California",2001
6075015400,"Census Tract 154, San Francisco County, California",2003
6075015500,"Census Tract 155, San Francisco County, California",2003
6075015600,"Census Tract 156, San Francisco County, California",2003
6075015700,"Census Tract 157, San Francisco County, California",2003
6075015800,"Census Tract 158, San Francisco County, California",2001
6075015900,"Census Tract 159, San Francisco County, California",2004
6075016000,"Census Tract 160, San Francisco County, California",2004
6075016100,"Census Tract 161, San Francisco County, California",2001
6075016200,"Census Tract 162, San Francisco County, California",2004
6075016300,"Census Tract 163, San Francisco County, California",2004
6075016400,"Census Tract 164, San Francisco County, California",2003
6075016500,"Census Tract 165, San Francisco County, California",2005+
6075016600,"Census Tract 166, San Francisco County, California",2004
6075016700,"Census Tract 167, San Francisco County, California",2003
6075016800,"Census Tract 168, San Francisco County, California",2002
6075016900,"Census Tract 169, San Francisco County, California",2002
6075017000,"Census Tract 170, San Francisco County, California",2003
6075017100,"Census Tract 171, San Francisco County, California",2003
6075017601,"Census Tract 176.01, San Francisco County, California",2003
6075017602,"Census Tract 176.02, San Francisco County, California",2005+
6075017700,"Census Tract 177, San Francisco County, California",2002
6075017800,"Census Tract 178, San Francisco County, California",2004
6075017901,"Census Tract 179.01, San Francisco County, California",2005+
6075017902,"Census Tract 179.02, San Francisco County, California",2005+
6075018000,"Census Tract 180, San Francisco County, California",2005+
6075020100,"Census Tract 201, San Francisco County, California",2004
6075020200,"Census Tract 202, San Francisco County, California",2003
6075020300,"Census Tract 203, San Francisco County, California",2002
6075020400,"Census Tract 204, San Francisco County, California",2003
6075020500,"Census Tract 205, San Francisco County, California",2001
6075020600,"Census Tract 206, San Francisco County, California",2003
6075020700,"Census Tract 207, San Francisco County, California",2004
6075020800,"Census Tract 208, San Francisco County, California",2003
6075020900,"Census Tract 209, San Francisco County, California",2000
6075021000,"Census Tract 210, San Francisco County, California",2003
6075021100,"Census Tract 211, San Francisco County, California",2002
6075021200,"Census Tract 212, San Francisco County, California",2005+
6075021300,"Census Tract 213, San Francisco County, California",2004
6075021400,"Census Tract 214, San Francisco County, California",2003
6075021500,"Census Tract 215, San Francisco County, California",2003
6075021600,"Census Tract 216, San Francisco County, California",2003
6075021700,"Census Tract 217, San Francisco County, California",1996
6075021800,"Census Tract 218, San Francisco County, California",2002
6075022600,"Census Tract 226, San Francisco County, California",2005+
6075022701,"Census Tract 227.01, San Francisco County, California",2005+
6075022702,"Census Tract 227.02, San Francisco County, California",2003
6075022703,"Census Tract 227.03, San Francisco County, California",2002
6075022801,"Census Tract 228.01, San Francisco County, California",2002
6075022802,"Census Tract 228.02, San Francisco County, California",2001
6075022803,"Census Tract 228.03, San Francisco County, California",2002
6075022901,"Census Tract 229.01, San Francisco County, California",2003
6075022902,"Census Tract 229.02, San Francisco County, California",1997
6075022903,"Census Tract 229.03, San Francisco County, California",2003
6075023001,"Census Tract 230.01, San Francisco County, California",2004
6075023002,"Census Tract 230.02, San Francisco County, California",2001
6075023003,"Census Tract 230.03, San Francisco County, California",2005+
6075023101,"Census Tract 231.01, San Francisco County, California",2004
6075023102,"Census Tract 231.02, San Francisco County, California",2004
6075023103,"Census Tract 231.03, San Francisco County, California",2001
6075023200,"Census Tract 232, San Francisco County, California",2004
6075023300,"Census Tract 233, San Francisco County, California",2002
6075023400,"Census Tract 234, San Francisco County, California",2003
6075025100,"Census Tract 251, San Francisco County, California",2005+
6075025200,"Census Tract 252, San Francisco County, California",2002
6075025300,"Census Tract 253, San Francisco County, California",2003
6075025401,"Census Tract 254.01, San Francisco County, California",2003
6075025402,"Census Tract 254.02, San Francisco County, California",2004
6075025403,"Census Tract 254.03, San Francisco County, California",2001
6075025500,"Census Tract 255, San Francisco County, California",2001
6075025600,"Census Tract 256, San Francisco County, California",2005+
6075025700,"Census Tract 257, San Francisco County, California",2001
6075025800,"Census Tract 258, San Francisco County, California",2004
6075025900,"Census Tract 259, San Francisco County, California",2005+
6075026001,"Census Tract 260.01, San Francisco County, California",1997
6075026002,"Census Tract 260.02, San Francisco County, California",2002
6075026003,"Census Tract 260.03, San Francisco County, California",2002
6075026004,"Census Tract 260.04, San Francisco County, California",2002
6075026100,"Census Tract 261, San Francisco County, California",2004
6075026200,"Census Tract 262, San Francisco County, California",2003
6075026301,"Census Tract 263.01, San Francisco County, California",2003
6075026302,"Census Tract 263.02, San Francisco County, California",2005+
6075026303,"Census Tract 263.03, San Francisco County, California",2001
6075026401,"Census Tract 264.01, San Francisco County, California",2004
6075026402,"Census Tract 264.02, San Francisco County, California",2003
6075026403,"Census Tract 264.03, San Francisco County, California",2002
6075026404,"Census Tract 264.04, San Francisco County, California",2002
6075030101,"Census Tract 301.01, San Francisco County, California",2004
6075030102,"Census Tract 301.02, San Francisco County, California",2004
6075030201,"Census Tract 302.01, San Francisco County, California",2003
6075030202,"Census Tract 302.02, San Francisco County, California",2004
6075030301,"Census Tract 303.01, San Francisco County, California",2003
6075030302,"Census Tract 303.02, San Francisco County, California",2005+
6075030400,"Census Tract 304, San Francisco County, California",2003
6075030500,"Census Tract 305, San Francisco County, California",2002
6075030600,"Census Tract 306, San Francisco County, California",2005+
6075030700,"Census Tract 307, San Francisco County, California",2001
6075030800,"Census Tract 308, San Francisco County, California",2002
6075030900,"Census Tract 309, San Francisco County, California",2003
6075031000,"Census Tract 310, San Francisco County, California",2005+
6075031100,"Census Tract 311, San Francisco County, California",2003
6075031200,"Census Tract 312, San Francisco County, California",2003
6075031300,"Census Tract 313, San Francisco County, California",2002
6075031400,"Census Tract 314, San Francisco County, California",2005+
6075032600,"Census Tract 326, San Francisco County, California",2003
6075032700,"Census Tract 327, San Francisco County, California",2004
6075032800,"Census Tract 328, San Francisco County, California",2003
6075032900,"Census Tract 329, San Francisco County, California",2004
6075033000,"Census Tract 330, San Francisco County, California",2001
6075033100,"Census Tract 331, San Francisco County, California",2001
6075033201,"Census Tract 332.01, San Francisco County, California",2004
6075033202,"Census Tract 332.02, San Francisco County, California",2003
6075035100,"Census Tract 351, San Francisco County, California",2003
6075035201,"Census Tract 352.01, San Francisco County, California",2003
6075035202,"Census Tract 352.02, San Francisco County, California",2004
6075035300,"Census Tract 353, San Francisco County, California",2003
6075035400,"Census Tract 354, San Francisco County, California",2001
6075040100,"Census Tract 401, San Francisco County, California",2002
6075040200,"Census Tract 402, San Francisco County, California",2004
6075042600,"Census Tract 426, San Francisco County, California",2002
6075042700,"Census Tract 427, San Francisco County, California",2002
6075042800,"Census Tract 428, San Francisco County, California",2003
6075045100,"Census Tract 451, San Francisco County, California",2004
6075045200,"Census Tract 452, San Francisco County, California",2002
6075047600,"Census Tract 476, San Francisco County, California",2003
6075047701,"Census Tract 477.01, San Francisco County, California",1999
6075047702,"Census Tract 477.02, San Francisco County, California",2003
6075047800,"Census Tract 478, San Francisco County, California",2003
6075047901,"Census Tract 479.01, San Francisco County, California",2005+
6075047902,"Census Tract 479.02, San Francisco County, California",2004
6075060100,"Census Tract 601, San Francisco County, California",2005+
6075060200,"Census Tract 602, San Francisco County, California",2005+
6075060300,"Census Tract 603, San Francisco County, California",2005+
6075060400,"Census Tract 604, San Francisco County, California",2005+
6075060501,"Census Tract 605.01, San Francisco County, California",2005+
6075060502,"Census Tract 605.02, San Francisco County, California",2005+
6075060600,"Census Tract 606, San Francisco County, California",1986
6075060700,"Census Tract 607, San Francisco County, California",2005+
6075060900,"Census Tract 609, San Francisco County, California",2005+
6075061000,"Census Tract 610, San Francisco County, California",2003
