Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075010100,"Census Tract 101, San Francisco County, California",4.7,0,347,149,378,394,539,117,98,297,362,1410,256,142,40,0
6075010200,"Census Tract 102, San Francisco County, California",9.2,0,34,79,74,221,229,342,103,1864,291,1530,372,186,216,80
6075010300,"Census Tract 103, San Francisco County, California",13.9,0,51,24,70,47,62,240,29,1731,394,822,328,123,131,143
6075010400,"Census Tract 104, San Francisco County, California",15.3,0,0,380,134,154,275,169,165,1612,341,1153,449,218,218,68
6075010500,"Census Tract 105, San Francisco County, California",18.9,0,92,9,410,701,643,55,0,36,150,954,173,201,44,56
6075010600,"Census Tract 106, San Francisco County, California",14.5,0,0,32,42,282,114,146,82,1509,162,1218,239,136,75,57
6075010700,"Census Tract 107, San Francisco County, California",8.8,0,0,0,96,143,245,353,22,2068,413,1328,532,208,40,148
6075010800,"Census Tract 108, San Francisco County, California",11.4,0,29,88,75,111,294,139,168,1881,270,1137,555,137,203,165
6075010900,"Census Tract 109, San Francisco County, California",6.6,0,59,49,173,29,146,59,101,2314,314,1566,397,138,170,152
6075011000,"Census Tract 110, San Francisco County, California",1.9,0,100,11,219,221,284,198,141,1554,560,1257,304,301,80,173
6075011100,"Census Tract 111, San Francisco County, California",8.6,0,150,134,154,99,55,237,305,2047,392,1820,353,170,100,74
6075011200,"Census Tract 112, San Francisco County, California",32.2,0,58,60,30,62,426,204,49,1485,109,927,201,171,115,86
6075011300,"Census Tract 113, San Francisco County, California",6.4,0,5,48,121,47,69,70,62,1238,151,673,389,112,121,108
6075011700,"Census Tract 117, San Francisco County, California",26.8,0,21,38,105,87,32,21,8,947,132,606,106,69,9,0
6075011800,"Census Tract 118, San Francisco County, California",7.2,0,12,0,24,24,6,101,95,486,104,321,166,66,18,19
6075011901,"Census Tract 119.01, San Francisco County, California",23.7,0,13,13,111,266,286,53,94,994,288,654,261,87,91,15
6075011902,"Census Tract 119.02, San Francisco County, California",15.8,0,0,0,26,47,56,46,143,1650,368,894,219,97,70,9
6075012000,"Census Tract 120, San Francisco County, California",9.4,15,96,107,42,105,60,125,14,2224,387,1475,489,21,154,0
6075012100,"Census Tract 121, San Francisco County, California",10,0,13,22,44,31,14,72,138,2037,451,1120,337,38,188,0
6075012201,"Census Tract 122.01, San Francisco County, California",9.1,0,0,0,0,0,70,116,133,2558,525,1322,547,195,25,0
6075012202,"Census Tract 122.02, San Francisco County, California",7.5,0,127,74,102,17,44,227,26,1001,150,977,196,164,10,0
6075012301,"Census Tract 123.01, San Francisco County, California",25.4,0,58,40,23,81,38,140,186,1248,289,725,199,64,43,34
6075012302,"Census Tract 123.02, San Francisco County, California",30.9,0,90,108,198,119,19,64,58,1738,344,1044,107,74,58,27
6075012401,"Census Tract 124.01, San Francisco County, California",22.9,0,50,146,44,253,89,60,79,2104,326,1176,582,66,18,10
6075012402,"Census Tract 124.02, San Francisco County, California",13.5,0,385,131,83,81,315,42,164,1050,475,1129,261,58,24,0
6075012501,"Census Tract 125.01, San Francisco County, California",18.1,0,132,205,173,116,48,38,264,1581,184,1327,542,41,0,0
6075012502,"Census Tract 125.02, San Francisco County, California",12,0,349,91,0,26,33,70,27,1878,226,1542,240,30,86,54
6075012601,"Census Tract 126.01, San Francisco County, California",13.6,0,0,47,11,65,130,34,90,1289,205,866,128,112,35,93
6075012602,"Census Tract 126.02, San Francisco County, California",11,0,36,116,111,155,179,148,218,982,246,986,250,102,77,70
6075012700,"Census Tract 127, San Francisco County, California",7,0,50,136,69,63,31,168,125,1618,521,1062,298,134,57,29
6075012800,"Census Tract 128, San Francisco County, California",11.5,0,11,131,57,54,240,260,278,1611,198,1290,381,122,244,103
6075012901,"Census Tract 129.01, San Francisco County, California",11.3,0,42,8,166,22,49,220,127,1060,135,1099,126,52,81,9
6075012902,"Census Tract 129.02, San Francisco County, California",5.9,0,227,14,74,153,173,263,142,1147,498,1112,100,191,135,28
6075013000,"Census Tract 130, San Francisco County, California",12.6,0,21,35,138,231,177,280,84,1743,330,1489,140,224,158,27
6075013101,"Census Tract 131.01, San Francisco County, California",6.7,0,158,39,125,268,397,189,105,1297,529,1415,177,158,113,12
6075013102,"Census Tract 131.02, San Francisco County, California",6.9,0,0,0,72,153,215,264,55,1017,258,778,371,120,118,9
6075013200,"Census Tract 132, San Francisco County, California",7.3,0,0,31,116,181,274,177,161,1685,425,1185,294,214,269,46
6075013300,"Census Tract 133, San Francisco County, California",11.5,10,58,35,52,53,53,66,64,1709,159,855,460,167,116,102
