Id2,Geography,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1969 or earlier
6075010100,"Census Tract 101, San Francisco County, California",5.6,0,406,247,265,356,543,90,94,305,666,1034,269,167,41,0
6075010200,"Census Tract 102, San Francisco County, California",13.6,0,39,65,76,206,197,320,78,1967,538,1345,227,158,207,72
6075010300,"Census Tract 103, San Francisco County, California",10.3,0,57,0,51,54,69,250,22,1800,603,729,287,161,104,182
6075010400,"Census Tract 104, San Francisco County, California",10.8,0,0,346,201,157,332,166,215,1458,642,1113,374,211,172,53
6075010500,"Census Tract 105, San Francisco County, California",20,0,96,13,388,676,660,59,0,52,285,819,158,181,54,59
6075010600,"Census Tract 106, San Francisco County, California",15.7,0,0,47,33,187,92,97,134,1555,308,975,211,148,90,77
6075010700,"Census Tract 107, San Francisco County, California",10.7,0,0,34,77,61,242,387,77,1967,535,1143,452,191,62,159
6075010800,"Census Tract 108, San Francisco County, California",10,0,20,162,39,88,340,77,233,1827,440,1142,378,230,153,165
6075010900,"Census Tract 109, San Francisco County, California",5.6,0,45,59,154,45,117,103,125,2286,482,1547,380,111,128,123
6075011000,"Census Tract 110, San Francisco County, California",2.8,0,101,63,203,168,327,144,113,1616,704,1071,341,331,62,150
6075011100,"Census Tract 111, San Francisco County, California",8.5,0,137,140,143,108,105,286,349,1942,637,1618,317,197,61,108
6075011200,"Census Tract 112, San Francisco County, California",31.6,0,78,68,80,73,422,257,60,1346,274,808,175,174,132,67
6075011300,"Census Tract 113, San Francisco County, California",5.7,0,8,54,98,52,89,88,85,1143,246,641,371,57,105,105
6075011700,"Census Tract 117, San Francisco County, California",22.8,0,30,27,116,88,39,11,18,939,306,520,76,67,10,0
6075011800,"Census Tract 118, San Francisco County, California",5.1,0,8,0,23,31,10,110,43,518,210,302,127,26,19,21
6075011901,"Census Tract 119.01, San Francisco County, California",19.4,0,11,18,144,282,270,42,103,918,432,575,245,121,47,21
6075011902,"Census Tract 119.02, San Francisco County, California",12.9,0,0,9,27,108,56,81,123,1538,559,660,246,124,92,10
6075012000,"Census Tract 120, San Francisco County, California",7.4,16,88,104,40,96,108,95,93,2137,755,1284,352,32,148,0
6075012100,"Census Tract 121, San Francisco County, California",4.1,0,16,14,43,36,10,99,149,2009,800,1041,242,88,107,0
6075012201,"Census Tract 122.01, San Francisco County, California",8.5,0,13,0,10,113,61,80,120,2526,782,1112,545,235,0,0
6075012202,"Census Tract 122.02, San Francisco County, California",8.1,0,155,49,150,25,23,186,38,997,267,973,162,86,3,0
6075012301,"Census Tract 123.01, San Francisco County, California",27.3,0,87,42,22,54,73,146,101,1194,355,676,104,72,12,31
6075012302,"Census Tract 123.02, San Francisco County, California",24.5,0,84,88,210,77,17,105,68,1690,532,940,171,76,22,25
6075012401,"Census Tract 124.01, San Francisco County, California",18,0,65,104,47,298,49,104,57,2172,636,1074,531,97,27,10
6075012402,"Census Tract 124.02, San Francisco County, California",11.2,0,361,138,115,184,321,41,176,1006,667,1021,308,69,14,0
6075012501,"Census Tract 125.01, San Francisco County, California",19.9,0,197,196,221,89,59,0,219,1641,388,1241,441,30,0,0
6075012502,"Census Tract 125.02, San Francisco County, California",12.2,0,350,91,68,34,37,57,35,1739,369,1337,124,167,63,57
6075012601,"Census Tract 126.01, San Francisco County, California",7.3,0,0,61,0,76,144,55,81,1258,370,837,116,96,59,75
6075012602,"Census Tract 126.02, San Francisco County, California",5.6,0,75,69,97,167,182,139,195,1036,368,1020,212,110,93,47
6075012700,"Census Tract 127, San Francisco County, California",8.7,0,58,125,95,40,42,149,113,1645,632,838,295,177,59,69
6075012800,"Census Tract 128, San Francisco County, California",12.2,0,37,65,45,29,212,171,338,1760,519,1110,271,101,228,105
6075012901,"Census Tract 129.01, San Francisco County, California",14.7,0,45,7,180,61,14,234,140,1003,232,929,167,24,77,7
6075012902,"Census Tract 129.02, San Francisco County, California",4.1,0,162,43,116,140,110,240,142,1251,846,866,112,127,129,34
6075013000,"Census Tract 130, San Francisco County, California",10,0,17,29,131,227,265,265,117,1645,570,1166,263,249,152,26
6075013101,"Census Tract 131.01, San Francisco County, California",7.2,0,173,38,89,298,361,195,76,1357,818,1145,189,175,75,0
6075013102,"Census Tract 131.02, San Francisco County, California",5.2,0,0,0,127,158,268,197,80,947,340,708,336,189,111,0
6075013200,"Census Tract 132, San Francisco County, California",7.4,0,0,30,106,302,259,134,189,1611,587,1052,415,196,173,14
6075013300,"Census Tract 133, San Francisco County, California",10.1,15,65,42,66,56,28,68,25,1749,282,861,408,158,122,70
6075013400,"Census Tract 134, San Francisco County, California",13.5,0,66,16,35,124,189,135,85,1562,383,1038,226,132,107,28
6075013500,"Census Tract 135, San Francisco County, California",8.2,0,0,9,17,105,305,75,113,1204,587,793,121,91,62,25
6075015100,"Census Tract 151, San Francisco County, California",17.8,0,79,391,405,191,111,79,87,454,316,717,341,70,19,14
6075015200,"Census Tract 152, San Francisco County, California",5.9,0,31,224,124,388,170,184,197,1255,471,1128,538,63,63,158
6075015300,"Census Tract 153, San Francisco County, California",3.3,6,37,10,35,25,67,20,38,765,309,421,127,90,12,11
6075015400,"Census Tract 154, San Francisco County, California",4,0,16,41,166,437,182,324,173,1711,686,1404,360,237,166,74
6075015500,"Census Tract 155, San Francisco County, California",4.8,0,98,302,404,482,363,165,134,487,714,1161,282,114,20,28
6075015600,"Census Tract 156, San Francisco County, California",5.8,56,0,43,37,98,196,177,160,596,348,543,203,80,83,27
6075015700,"Census Tract 157, San Francisco County, California",7.3,20,247,135,68,263,322,397,340,963,529,1208,417,164,148,87
6075015801,"Census Tract 158.01, San Francisco County, California",2.2,7,9,174,129,136,292,189,30,814,325,819,246,200,138,12
6075015802,"Census Tract 158.02, San Francisco County, California",10.1,0,65,31,79,41,112,201,34,1071,374,628,348,119,0,0
6075015900,"Census Tract 159, San Francisco County, California",1.4,0,146,652,411,373,372,136,14,264,455,1303,389,66,106,16
6075016000,"Census Tract 160, San Francisco County, California",12,0,181,143,427,278,450,16,60,242,391,826,230,63,71,0
6075016100,"Census Tract 161, San Francisco County, California",5.2,0,215,274,536,586,451,307,109,376,594,1275,441,142,253,0
6075016200,"Census Tract 162, San Francisco County, California",11.2,20,154,142,109,77,78,103,178,827,462,707,193,93,37,7
6075016300,"Census Tract 163, San Francisco County, California",8,0,0,283,58,181,203,59,50,1360,449,885,487,61,137,0
6075016400,"Census Tract 164, San Francisco County, California",3.9,10,67,51,94,32,46,170,97,1373,420,1023,222,133,48,19
6075016500,"Census Tract 165, San Francisco County, California",5.1,0,33,57,72,257,162,107,51,1774,575,1285,267,140,70,48
6075016600,"Census Tract 166, San Francisco County, California",6.4,0,12,30,93,62,89,148,155,2094,707,1200,342,188,56,18
6075016700,"Census Tract 167, San Francisco County, California",7.5,0,13,97,101,83,115,84,140,1866,673,1012,424,124,48,31
6075016801,"Census Tract 168.01, San Francisco County, California",2,0,103,13,52,18,99,224,59,1156,298,995,173,209,0,15
6075016802,"Census Tract 168.02, San Francisco County, California",22.5,0,163,72,59,52,226,80,78,1233,264,799,297,93,62,6
6075016900,"Census Tract 169, San Francisco County, California",7.8,0,11,51,62,159,158,67,96,1175,306,767,364,164,18,21
6075017000,"Census Tract 170, San Francisco County, California",13.5,0,0,62,178,314,236,202,74,1296,478,860,371,166,83,86
6075017101,"Census Tract 171.01, San Francisco County, California",8.4,0,26,10,33,138,161,110,159,1296,471,822,177,156,112,33
6075017102,"Census Tract 171.02, San Francisco County, California",9.4,10,6,14,0,32,47,117,256,1372,469,780,173,114,115,28
6075017601,"Census Tract 176.01, San Francisco County, California",23.7,114,1555,742,45,174,90,231,202,1611,1168,2003,420,23,21,0
6075017700,"Census Tract 177, San Francisco County, California",19.1,0,108,69,8,39,21,117,39,420,115,325,140,44,7,33
6075017801,"Census Tract 178.01, San Francisco County, California",11.1,16,540,245,678,703,73,32,14,204,172,1470,457,116,12,0
6075017802,"Census Tract 178.02, San Francisco County, California",21.2,0,697,311,161,11,50,60,66,894,526,913,259,76,0,0
