Id2,Geography,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,"Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, detached",Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 to 2013,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier
6075010100,"Census Tract 101, San Francisco County, California",11.2,0,0,0,441,286,156,574,394,55,104,297,23,919,755,219,86,47
6075010200,"Census Tract 102, San Francisco County, California",15.2,147,0,61,1,37,117,106,416,294,131,1922,16,994,978,254,213,160
6075010300,"Census Tract 103, San Francisco County, California",15.2,120,0,0,0,28,57,116,108,238,20,1828,35,795,417,201,202,380
6075010400,"Census Tract 104, San Francisco County, California",8.8,74,0,0,0,200,168,194,150,115,224,1754,0,837,1010,295,151,264
6075010500,"Census Tract 105, San Francisco County, California",19.7,41,0,10,107,17,304,567,731,104,38,91,53,535,569,133,179,113
6075010600,"Census Tract 106, San Francisco County, California",10.8,60,0,23,20,76,43,167,112,103,210,1344,48,699,511,247,205,162
6075010700,"Census Tract 107, San Francisco County, California",11.8,79,0,0,12,79,47,53,151,325,93,1990,20,923,754,362,126,241
6075010800,"Census Tract 108, San Francisco County, California",9.4,164,0,0,27,168,127,76,323,119,237,1710,21,752,760,452,294,245
6075010900,"Census Tract 109, San Francisco County, California",4.7,80,0,0,44,94,124,30,78,157,161,2239,18,899,1050,330,200,292
6075011000,"Census Tract 110, San Francisco County, California",7.8,159,10,0,128,142,198,238,380,147,40,1554,86,1013,882,289,160,187
6075011100,"Census Tract 111, San Francisco County, California",8.8,43,0,0,251,139,111,193,167,266,322,1880,63,1180,1259,299,137,98
6075011200,"Census Tract 112, San Francisco County, California",22.4,82,10,0,104,64,134,65,373,294,75,1225,38,541,572,265,189,213
