,Geoid,Year,Eviction ID,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Tract,tract_year
0,6075010100,2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10100,101002011
1,6075010200,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10200,102002012
2,6075010200,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10200,102002017
3,6075010300,2012,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10300,103002012
4,6075010300,2013,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10300,103002013
5,6075010300,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10300,103002014
6,6075010300,2015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10300,103002015
7,6075010300,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10300,103002016
8,6075010300,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10300,103002017
9,6075010300,2018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10300,103002018
10,6075010400,2011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10400,104002011
11,6075010400,2012,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10400,104002012
12,6075010400,2013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10400,104002013
13,6075010400,2015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10400,104002015
14,6075010400,2016,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10400,104002016
15,6075010400,2017,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10400,104002017
16,6075010400,2018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10400,104002018
17,6075010600,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10600,106002013
18,6075010600,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10600,106002014
19,6075010600,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10600,106002015
20,6075010600,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10600,106002016
21,6075010600,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10600,106002017
22,6075010700,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10700,107002012
23,6075010700,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10700,107002015
24,6075010800,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10800,108002011
