Geoid,Year,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends
06075010200,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075010300,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075010300,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075010400,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075010400,2018,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075010600,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075010800,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075010900,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075011100,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075011200,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075012602,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075012700,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075012800,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075012800,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075012901,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075012901,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075012902,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075012902,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075013000,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075013200,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075013300,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075013400,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075013500,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075015300,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075015400,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075015400,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075015600,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075015600,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075015700,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075015700,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075015802,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075015802,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075016200,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075016300,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075016400,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075016500,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075016500,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075016700,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075017000,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075017101,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075017101,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075017102,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075017601,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075017700,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020100,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020200,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075020200,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020300,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020401,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020401,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020402,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020402,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020500,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075020500,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020600,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075020600,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020700,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075020700,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020800,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075020800,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075020900,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075020900,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075021000,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075021100,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075021100,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075021200,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075021200,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075021400,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075021400,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075021500,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075021600,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075021600,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075021800,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075021800,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075022704,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075022704,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075022801,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075022801,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075022803,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075022803,2018,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075022901,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075022901,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075022902,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075022903,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075023001,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075023001,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075023003,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075023003,2018,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
06075023102,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075023200,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075023200,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075023400,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075025100,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025200,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025200,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025300,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075025300,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025401,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025401,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025402,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025402,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025403,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075025403,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075025500,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075025500,2018,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075025600,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075025600,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075025701,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075025702,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075025702,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075025800,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075025900,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026001,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075026001,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075026002,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026003,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075026004,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075026004,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075026100,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075026100,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075026200,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075026200,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075026301,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075026301,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026302,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075026303,2017,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
06075026303,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026401,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026401,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026402,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075026403,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075026403,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075030101,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075030101,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030102,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075030102,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075030201,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030201,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030202,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030301,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075030301,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030302,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030302,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030400,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075030400,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075030700,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075030700,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075031100,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075031100,2018,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075031201,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075031202,2017,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
06075031202,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075031302,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075031400,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075031400,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075032601,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075032601,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075032602,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075032602,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075032700,2017,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
06075032700,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075032801,2017,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075032801,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075032802,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075032802,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075032901,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075032902,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075032902,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075033000,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075033000,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075033100,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075035100,2017,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
06075035100,2018,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075035201,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075035201,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075035202,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075035202,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075035300,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075035300,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075035400,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075035400,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075040100,2017,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
06075040100,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075040200,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075040200,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075042601,2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075042602,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075042700,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075042700,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075042800,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075045100,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075045200,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075045200,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075047600,2017,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
06075047600,2018,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
06075047701,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075047701,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075047702,2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
06075047702,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075047801,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075047801,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
06075047802,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06075047802,2018,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
06075047901,2017,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
