Total Housing Units,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,Neighbors Mean,Number Stops,num shuttle stops
2278.0,2011,1971.0,2005.0,34.0,28.4,0.000877963125548727,0.08984679304076862,0.43780836146455465,0.391326928070631,0.0028564009348221236,0.0,32,0.0
2946.0,2012,1939.0,2005.0,42.1,22.5,0.00033944331296673454,0.011138613861386138,0.8242574257425742,0.08762376237623762,0.0,0.0,32,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,0.0,32,0.0
2254.0,2012,1939.0,2005.0,31.1,24.3,0.0008873114463176574,0.0,0.6485317550648759,0.3514682449351241,0.0,0.0,13,0.0
2303.0,2013,1939.0,2007.0,31.3,26.1,0.0008684324793747286,0.0,0.5772890674561219,0.4019877352505815,0.0,2.0,13,0.0
2317.0,2014,1939.0,2008.0,5.8,25.4,0.001294777729823047,0.0,0.611366774045099,0.3582604693971468,0.0,4.0,13,0.0
2395.0,2015,1939.0,2009.0,1155.0,24.2,0.0016701461377870565,0.0,0.567358103487577,0.3875085479826761,0.0,5.0,13,0.0
2378.0,2016,1939.0,2010.0,1232.0,22.6,0.00042052144659377616,0.0,0.6157567380787837,0.3349458650080627,0.0,7.0,13,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,5.0,13,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,2.0,13,0.0
2952.0,2011,1939.0,2004.0,38.1,20.6,0.0013550135501355016,0.00022070183182520416,0.6824100640035312,0.2670492165084969,0.0,0.0,24,0.0
2889.0,2012,1939.0,2005.0,35.4,23.6,0.0010384215991692627,0.0002105706464518846,0.6445567487892188,0.2891134975784376,0.0,4.0,24,0.0
2875.0,2013,1939.0,2007.0,38.3,24.3,0.0013913043478260866,0.0001959631589261219,0.6068979031941995,0.28708602782676856,0.0,7.0,24,0.0
2805.0,2015,1939.0,2008.0,1732.0,24.6,0.0014260249554367199,0.0,0.6085858585858586,0.2775835275835276,0.0,4.0,24,0.0
2844.0,2016,1939.0,2008.0,1611.0,24.8,0.0017580872011251755,0.0,0.6187350835322196,0.28102625298329353,0.000994431185361973,4.0,24,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,9.0,24,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,7.0,24,0.0
2145.0,2013,1939.0,2004.0,27.6,34.9,0.0004662004662004662,0.02162461879678404,0.3368450235652897,0.5550318824507902,0.0,0.0,16,0.0
2116.0,2014,1939.0,2005.0,6.2,33.9,0.0004725897920604915,0.009825327510917031,0.31768558951965065,0.6067139737991266,0.0,1.0,16,0.0
2098.0,2015,1939.0,2008.0,844.0,27.8,0.0014299332697807435,0.01775804661487236,0.3451720310765816,0.5862930077691454,0.0,2.0,16,0.0
2097.0,2016,1939.0,2010.0,819.0,27.5,0.0004768717215069147,0.016260162601626018,0.3532380151387721,0.6027474067844126,0.0,4.0,16,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,4.0,16,0.0
2927.0,2012,1939.0,2003.0,20.3,32.7,0.00034164673727365904,0.029162916291629162,0.17839783978397838,0.7722772277227723,0.0018001800180018,0.0,21,0.0
2750.0,2015,1939.0,2007.0,905.0,33.7,0.0003636363636363636,0.0,0.2350056582421728,0.7540550735571483,0.0,0.0,21,0.0
2800.0,2011,1939.0,2003.0,44.4,22.4,0.0003571428571428572,0.01452583523552604,0.4818427059555924,0.4689769661755551,0.003527702842913467,0.0,16,0.0
2785.0,2012,1939.0,2002.0,42.2,24.9,0.0003590664272890485,0.015381417584701724,0.4718353772604448,0.4892953647890251,0.004780710870920807,1.0,16,0.0
2786.0,2013,1939.0,2004.0,51.1,26.3,0.0003589375448671931,0.003045685279187817,0.476751269035533,0.4830456852791878,0.0018274111675126907,2.0,16,0.0
2755.0,2014,1939.0,2005.0,6.2,22.6,0.001088929219600726,0.0,0.4685080560786776,0.4783427495291902,0.0018832391713747645,2.0,16,0.0
2787.0,2015,1939.0,2005.0,1960.0,22.4,0.0014352350197344814,0.0,0.4614017769002962,0.4783810463968411,0.0021717670286278373,4.0,16,0.0
2743.0,2016,1939.0,2004.0,1590.0,21.9,0.0018228217280349985,0.0,0.4895879486043421,0.4439521488701816,0.0,7.0,16,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,5.0,16,0.0
2932.0,2011,1939.0,2005.0,42.6,22.9,0.00034106412005457026,0.0105170902716915,0.6884312007011394,0.2421121822962313,0.02212971078001753,0.0,21,0.0
2930.0,2012,1939.0,2004.0,48.2,22.3,0.0010238907849829352,0.012992455993294216,0.7126990779547359,0.21332774518021794,0.020326906957250628,1.0,21,0.0
2949.0,2014,1939.0,2005.0,5.6,21.8,0.0006781959986436081,0.012658227848101266,0.6915611814345991,0.2748945147679325,0.0,3.0,21,0.0
2927.0,2015,1939.0,2007.0,2046.0,21.2,0.0010249402118209774,0.022050716648291068,0.6851157662624036,0.2754134509371555,0.0,2.0,21,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,3.0,21,0.0
2735.0,2013,1939.0,2005.0,32.7,22.8,0.00036563071297989033,0.017434620174346202,0.4849670877068138,0.44956413449564137,0.0,0.0,31,0.0
2837.0,2015,1939.0,2009.0,1857.0,22.1,0.00035248501938667606,0.01376597836774828,0.4755162241887906,0.4379547689282203,0.0,1.0,31,0.0
3181.0,2012,1939.0,2005.0,41.2,25.0,0.00031436655139893113,0.08047124600638977,0.4566693290734825,0.3632188498402556,0.00439297124600639,0.0,26,0.0
3271.0,2014,1939.0,2007.0,6.4,27.9,0.0009171507184347293,0.033674675068924784,0.5787711697518708,0.30838912957857423,0.0,1.0,26,0.0
3329.0,2015,1939.0,2008.0,1728.0,26.0,0.00030039050765995795,0.04190283400809717,0.6356275303643725,0.25323886639676113,0.0,3.0,26,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,0.0,26,0.0
2357.0,2014,1939.0,2004.0,6.6,27.1,0.0016970725498515061,0.01332033788174139,0.5477582846003899,0.37069525666016895,0.0003248862897985705,0.0,23,0.0
2344.0,2015,1939.0,2004.0,1252.0,28.5,0.0004266211604095563,0.01828710758914965,0.5623285583663518,0.3431880524230417,0.0,4.0,23,0.0
2339.0,2016,1939.0,2008.0,1241.0,26.9,0.0004275331338178709,0.03298350824587706,0.5973013493253373,0.3250374812593703,0.0014992503748125937,5.0,23,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,1.0,23,0.0
1644.0,2016,1939.0,2006.0,599.0,32.9,0.0006082725060827251,0.021561581182620058,0.21365566808232608,0.7278667102254165,0.004900359359686377,0.0,12,0.0
1788.0,2013,1939.0,2006.0,39.3,25.6,0.0011185682326621924,0.047073270568972585,0.5554645927138764,0.3258288988948015,0.011461318051575931,0.0,4,0.0
1736.0,2015,1943.0,2010.0,862.0,27.7,0.001152073732718894,0.042951971885982036,0.5853182350644279,0.2830925419757907,0.009761811792268643,2.0,4,0.0
2923.0,2013,1939.0,2006.0,26.7,39.3,0.00034211426616489907,0.07975188303057155,0.4144882587505537,0.32764731945059816,0.0,0.0,4,0.0
1666.0,2012,1939.0,2005.0,51.0,23.0,0.001800720288115246,0.0,0.8446302816901409,0.11883802816901408,0.013644366197183098,0.0,2,0.0
1679.0,2014,1939.0,2007.0,9.1,23.0,0.0005955926146515784,0.0,0.8691476590636255,0.11084433773509404,0.0,3.0,2,0.0
1702.0,2015,1939.0,2010.0,1151.0,22.4,0.002937720329024677,0.005998286203941731,0.8594687232219366,0.1036846615252785,0.0,1.0,2,0.0
1945.0,2011,1939.0,2005.0,52.8,17.5,0.00051413881748072,0.0,0.9312189529996179,0.03859380970576996,0.0,0.0,9,0.0
1960.0,2013,1939.0,2006.0,48.3,19.6,0.0020408163265306124,0.0,0.8846271862534519,0.07241485118134397,0.0,1.0,9,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,0.0,9,0.0
2260.0,2012,1939.0,2006.0,51.3,22.1,0.0008849557522123895,0.0037817396002161,0.857914640734738,0.10967044840626687,0.0,0.0,20,0.0
2267.0,2013,1939.0,2007.0,49.7,22.6,0.000882223202470225,0.018468223791417708,0.8487235198261814,0.10103204780010863,0.0,2.0,20,0.0
2321.0,2014,1939.0,2008.0,7.6,22.9,0.0008616975441619991,0.04789781798829165,0.8408728046833422,0.07477381585949973,0.0,4.0,20,0.0
2306.0,2015,1939.0,2009.0,1658.0,23.1,0.0004336513443191674,0.03776595744680851,0.8069148936170213,0.075,0.0,4.0,20,0.0
2332.0,2016,1939.0,2010.0,1717.0,22.5,0.0004288164665523156,0.010103626943005182,0.8398963730569948,0.07694300518134715,0.0,3.0,20,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,2.0,20,0.0
2612.0,2011,1939.0,2005.0,52.7,18.7,0.0007656967840735067,0.004513540621865597,0.8136910732196591,0.11609829488465395,0.004513540621865597,0.0,19,0.0
